EventTradeDate,Ticker,CAR_30D,ret_t0_t1,CAR_t1_t30,position,pred_reg,pnl
2019-03-21,ENEV3,0.0790375500778662,0.008676844025689,0.0790375500778662,-1,-0.010324876,0.0790375500778662
2019-05-09,ENEV3,0.1086106336645534,-0.0194653347881032,0.1086106336645534,1,-0.04996831,-0.1086106336645534
2019-08-15,ENEV3,0.0884608424464679,-0.0170620252767215,0.0884608424464679,1,-0.02370656,-0.0884608424464679
2019-11-06,ENEV3,0.2515442318591697,0.0027816429618767,0.2515442318591697,-1,-0.14317869,0.2515442318591697
2017-03-24,ENGI11,0.0413447961640929,0.0058917007095909,0.0413447961640929,-1,0.03388624,-0.0413447961640929
2017-07-21,ENGI11,-0.0294092623609297,-0.0073349962105027,-0.0294092623609297,1,-0.009924883,0.0294092623609297
2017-08-21,ENGI11,-0.016082134392162,-0.0053863813677732,-0.016082134392162,1,0.040198747,-0.016082134392162
2017-11-16,ENGI11,0.0443327770573861,0.0240975515791905,0.0443327770573861,-1,0.03879112,-0.0443327770573861
2018-03-15,ENGI11,-0.0267782104002431,-0.0148150857821784,-0.0267782104002431,1,0.05018409,-0.0267782104002431
2018-05-11,ENGI11,0.0254759573237236,-0.0093604427593447,0.0254759573237236,1,0.05374307,0.0254759573237236
2018-08-09,ENGI11,0.070114232897154,-0.0209066848187995,0.070114232897154,1,0.060537305,0.070114232897154
2018-11-09,ENGI11,0.0414063432740315,0.0123458358232979,0.0414063432740315,-1,0.0672584,-0.0414063432740315
2019-03-22,ENGI11,0.0270367146602533,-0.0128845832555516,0.0270367146602533,1,-0.082555,-0.0270367146602533
2019-05-10,ENGI11,0.0193017016054907,-0.0215367453205258,0.0193017016054907,1,-0.056264408,-0.0193017016054907
2019-08-09,ENGI11,0.0051015309829598,0.0118344576468527,0.0051015309829598,-1,0.008679871,-0.0051015309829598
2019-11-08,ENGI11,0.0679144869306836,-0.0145741306007909,0.0679144869306836,1,-0.008868741,-0.0679144869306836
2017-05-10,EQTL3,-0.0232343966627933,-0.0421694009671709,-0.0232343966627933,1,-0.028034221,0.0232343966627933
2017-11-10,EQTL3,0.044017386281697,0.0039421864429402,0.044017386281697,-1,-0.015781257,0.044017386281697
2018-03-12,EQTL3,-0.0375709281187565,0.0110958142530087,-0.0375709281187565,-1,0.04270512,0.0375709281187565
2018-05-11,EQTL3,-0.0746445999855597,-0.0435831559611203,-0.0746445999855597,1,0.03784422,-0.0746445999855597
2018-08-10,EQTL3,0.0360895182937002,0.0017346058138861,0.0360895182937002,-1,0.06267811,-0.0360895182937002
2018-11-09,EQTL3,0.0242010985399051,-0.0036036075026779,0.0242010985399051,1,0.003829288,0.0242010985399051
2019-04-15,EQTL3,0.0380546094421653,0.0143796625090806,0.0380546094421653,-1,-0.028198868,0.0380546094421653
2019-05-16,EQTL3,0.0418574211696842,-0.0133670516910125,0.0418574211696842,1,0.017545896,0.0418574211696842
2019-08-16,EQTL3,0.0171619804799045,0.0292907969220008,0.0171619804799045,-1,0.005677875,-0.0171619804799045
2019-11-18,EQTL3,0.0540630926899626,-0.0072091435397309,0.0540630926899626,1,-0.06481641,-0.0540630926899626
2017-03-17,ESTC3,0.1357240304276325,-0.0475362455080037,0.1357240304276325,1,0.04942448,0.1357240304276325
2017-04-28,ESTC3,0.0053540542807571,0.0198250616498212,0.0053540542807571,-1,-0.057864044,0.0053540542807571
2017-07-28,ESTC3,0.3716000501436114,0.1378874326198644,0.3716000501436114,-1,0.04742067,-0.3716000501436114
2017-10-30,ESTC3,0.1381628068009939,-0.0035273405177254,0.1381628068009939,1,0.024017652,0.1381628068009939
2018-03-16,ESTC3,-0.0482896212073028,0.0860128746613251,-0.0482896212073028,-1,-0.04986718,-0.0482896212073028
2018-04-30,ESTC3,-0.102123479151086,-0.0068728792886968,-0.102123479151086,1,-0.06630753,0.102123479151086
2018-08-15,ESTC3,-0.024919108949997,-0.0724687768144917,-0.024919108949997,1,-0.00027339134,0.024919108949997
2018-11-08,ESTC3,0.095272492526566,-0.0879333131199125,0.095272492526566,1,-0.0119446,-0.095272492526566
2019-03-15,ESTC3,0.0366817506546803,-0.0291991546935979,0.0366817506546803,1,-0.040451705,-0.0366817506546803
2019-05-10,ESTC3,-0.0196769735394756,0.0209190397239918,-0.0196769735394756,-1,-0.08911104,-0.0196769735394756
2017-03-23,EVEN3,-0.1126978486619146,0.0293522120120279,-0.1126978486619146,-1,-0.12637596,-0.1126978486619146
2017-05-16,EVEN3,-0.0739484899915692,0.0571584138397743,-0.0739484899915692,-1,-0.19858487,-0.0739484899915692
